G,Name,U+,Style,Tags
,homebrew,e17a,,
,hop,e17c,,
,hoplon,e17b,,
,houdini,e17d,,
,houndci,e17e,,
,hugo,e17f,,
,husky,e180,,
,hy,e183,,
,hygen,e181,,
,hyper,e182,,
,icomoon,e184,,
,icu,e185,,
,idl,e186,,
,idris,e187,,
,igor-pro,e188,,
,illumos,e189,,
,image,e18a,,
,imba,e18d,,
,imba-alt,e18b,,
,imba-old,e18c,,
,imgbot,e18e,,
,influxdata,e18f,,
,inform7,e190,,
,ink,e192,,
,inkscape,e191,,
,innosetup,e193,,
,intel,e194,,
,io,e197,,
,ioke,e195,,
,ionic-project,e196,,
,isabelle,e198,,
,istanbul,e199,,
,j,e1aa,,
,jade,e19a,,
,jakefile,e19b,,
,janet,e19c,,
,jasmine,e19d,,
,jenkins,e19e,,
,jest,e19f,,
,jinja,e1a0,,
,jison,e1a1,,
,jolie,e1a2,,
,jscpd,e1a3,,
,json-1,e1a4,,
,json-2,e1a5,,
,json5,e1a6,,
,json-ld1,e1a7,,
,json-ld2,e1a8,,
,jsonnet,e1a9,,
,jsx,e1ad,,
,jsx-alt,e1ab,,
,jsx-atom,e1ac,,
,julia,e1ae,,
,junos,e1af,,
,jupyter,e1b0,,
,kaitai,e1b1,,
,karma,e1b2,,
,keybase,e1b3,,
,keynote,e1b4,,
,khronos,e1b5,,
,kibo,e1b6,,
,kicad,e1b7,,
,kitchenci,e1b8,,
,kivy,e1b9,,
,knime,e1ba,,
,knockout,e1bb,,
,kos,e1bc,,
,kotlin,e1bd,,
,krl,e1be,,
,kubernetes,e1bf,,
,kusto,e1c1,,
,kusto-alt,e1c0,,
,kx,e1c2,,
,labview,e1c3,,
,laravel,e1c4,,
,lark,e1c5,,
,lasso,e1c6,,
,latex,e1c7,,
,latino,e1c8,,
,leaflet,e1c9,,
,lean,e1ca,,
,lefthook,e1cc,,
,lefthook-alt,e1cb,,
,leiningen,e1cd,,
,lektor,e1ce,,
,lerna,e1cf,,
,lex,e1d1,,
,lex-alt,e1d0,,
,lfe,e1d2,,
,lgtm,e1d3,,
,libuv,e1d4,,
,lighthouse,e1d5,,
,lightwave,e1d6,,
,lilypond,e1d7,,
,lime,e1d8,,
,linqpad,e1d9,,
,lisp,e1da,,
,livescript,e1db,,
,llvm,e1dc,,
,logtalk,e1dd,,
,lolcode,e1de,,
,lookml,e1df,,
,lsl,e1e0,,
,lua,e1e1,,
,macaulay2,e1e2,,
,macvim,e1e3,,
,magit,e1e4,,
,mako,e1e5,,
,manjaro,e1e6,,
,manpage,e1e7,,
,mapbox,e1e8,,
,markdownlint,e1e9,,
,marko,e1ea,,
,mathematica,e1eb,,
,mathjax,e1ec,,
,matlab,e1ed,,
,matroska,e1ee,,
,max,e1ef,,
,maya,e1f0,,
,mdx,e1f1,,
,mediawiki,e1f2,,
,melpa,e1f3,,
,mercurial,e1f4,,
,mercury,e1f5,,
,mermaid,e1f6,,
,meson,e1f8,,
,meson-old,e1f7,,
,metal,e1f9,,
,metapost,e1fa,,
,meteor,e1fb,,
,microsoft-access,e1fc,,
,microsoft-excel,e1fd,,
,microsoft-infopath,e1fe,,
,microsoft-lync,e1ff,,
,microsoft-onenote,e200,,
,microsoft-outlook,e201,,
,microsoft-powerpoint,e202,,
,microsoft-project,e203,,
,microsoft-publisher,e204,,
,microsoft-visio,e205,,
,microsoft-word,e206,,
,minecraft,e207,,
,minizinc,e208,,
,mint,e209,,
,mirah,e20a,,
,miranda,e20b,,
,mirc,e20c,,
,mixin,e20d,,
,mjml,e20e,,
,mocha,e20f,,
,modelica,e210,,
,modernweb,e211,,
,modo,e212,,
,modula-2,e213,,
,modula-3,e214,,
,moho,e215,,
,moleculer,e216,,
,moment,e217,,
,moment-timezone,e218,,
,monkey,e219,,
,mono,e21a,,
,monotone,e21b,,
,motorola,e21c,,
,moustache,e21d,,
,mruby,e21e,,
,ms-dos,e21f,,
,mupad,e220,,
,nano,e222,,
,nanoc,e221,,
,nant,e223,,
,nasm,e224,,
,ndepend,e225,,
,neko,e226,,
,nemerle,e227,,
,neo4j,e228,,
,neon,e229,,
,nessus,e22a,,
,nestjs,e22b,,
,netlify,e22c,,
,netlinx,e22d,,
,netlogo,e22e,,
,new-relic,e22f,,
,nextflow,e230,,
,nextjs,e231,,
,nginx,e232,,
,ngrx,e233,,
,nib,e234,,
,nickle,e235,,
,nightwatch,e236,,
,nimble,e237,,
,nimrod,e238,,
,nintendo64,e239,,
,nit,e23a,,
,nix,e23b,,
,nmap,e23c,,
,nodemon,e23d,,
,nokogiri,e23e,,
,nomad,e23f,,
,noon,e240,,
,normalise,e241,,
,npm,e243,,
,npm-old,e242,,
,nsis,e245,,
,nsis-old,e244,,
,nsri,e247,,
,nsri-alt,e246,,
,nuclide,e248,,
,nuget,e249,,
,numpy,e24b,,
,numpy-old,e24a,,
,nunjucks,e24c,,
,nuxt,e24d,,
,nvidia,e24e,,
,nwscript,e24f,,
