G,Name,U+,Style,Tags
,elaboration-browser-search,e111,,
,elaboration-browser-star,e112,,
,elaboration-browser-upload,e113,,
,elaboration-calendar-check,e114,,
,elaboration-calendar-cloud,e115,,
,elaboration-calendar-download,e116,,
,elaboration-calendar-empty,e117,,
,elaboration-calendar-flagged,e118,,
,elaboration-calendar-heart,e119,,
,elaboration-calendar-minus,e11a,,
,elaboration-calendar-next,e11b,,
,elaboration-calendar-noaccess,e11c,,
,elaboration-calendar-pencil,e11d,,
,elaboration-calendar-plus,e11e,,
,elaboration-calendar-previous,e11f,,
,elaboration-calendar-refresh,e120,,
,elaboration-calendar-remove,e121,,
,elaboration-calendar-search,e122,,
,elaboration-calendar-star,e123,,
,elaboration-calendar-upload,e124,,
,elaboration-cloud-check,e125,,
,elaboration-cloud-download,e126,,
,elaboration-cloud-minus,e127,,
,elaboration-cloud-noaccess,e128,,
,elaboration-cloud-plus,e129,,
,elaboration-cloud-refresh,e12a,,
,elaboration-cloud-remove,e12b,,
,elaboration-cloud-search,e12c,,
,elaboration-cloud-upload,e12d,,
,elaboration-document-check,e12e,,
,elaboration-document-cloud,e12f,,
,elaboration-document-download,e130,,
,elaboration-document-flagged,e131,,
,elaboration-document-graph,e132,,
,elaboration-document-heart,e133,,
,elaboration-document-minus,e134,,
,elaboration-document-next,e135,,
,elaboration-document-noaccess,e136,,
,elaboration-document-note,e137,,
,elaboration-document-pencil,e138,,
,elaboration-document-picture,e139,,
,elaboration-document-plus,e13a,,
,elaboration-document-previous,e13b,,
,elaboration-document-refresh,e13c,,
,elaboration-document-remove,e13d,,
,elaboration-document-search,e13e,,
,elaboration-document-star,e13f,,
,elaboration-document-upload,e140,,
,elaboration-folder-check,e141,,
,elaboration-folder-cloud,e142,,
,elaboration-folder-document,e143,,
,elaboration-folder-download,e144,,
,elaboration-folder-flagged,e145,,
,elaboration-folder-graph,e146,,
,elaboration-folder-heart,e147,,
,elaboration-folder-minus,e148,,
,elaboration-folder-next,e149,,
,elaboration-folder-noaccess,e14a,,
,elaboration-folder-note,e14b,,
,elaboration-folder-pencil,e14c,,
,elaboration-folder-picture,e14d,,
,elaboration-folder-plus,e14e,,
,elaboration-folder-previous,e14f,,
,elaboration-folder-refresh,e150,,
,elaboration-folder-remove,e151,,
,elaboration-folder-search,e152,,
,elaboration-folder-star,e153,,
,elaboration-folder-upload,e154,,
,elaboration-mail-check,e155,,
,elaboration-mail-cloud,e156,,
,elaboration-mail-document,e157,,
,elaboration-mail-download,e158,,
,elaboration-mail-flagged,e159,,
,elaboration-mail-heart,e15a,,
,elaboration-mail-next,e15b,,
,elaboration-mail-noaccess,e15c,,
,elaboration-mail-note,e15d,,
,elaboration-mail-pencil,e15e,,
,elaboration-mail-picture,e15f,,
,elaboration-mail-previous,e160,,
,elaboration-mail-refresh,e161,,
,elaboration-mail-remove,e162,,
,elaboration-mail-search,e163,,
,elaboration-mail-star,e164,,
,elaboration-mail-upload,e165,,
,elaboration-message-check,e166,,
,elaboration-message-dots,e167,,
,elaboration-message-happy,e168,,
,elaboration-message-heart,e169,,
,elaboration-message-minus,e16a,,
