G,Name,U+,Style,Tags
,horizontal-right,e2f6,,
,hot,e2f9,,
,hotel,e2f8,,
,hotel-2,e2f7,,
,hourglass,e2fc,,
,hourglass-2,e2fa,,
,hourglass-bottom,e2fb,,
,hourglass-top,e2fd,,
,id-card,e2ff,,
,id-card-2,e2fe,,
,image,e306,,
,image-2,e300,,
,image-3,e301,,
,image-4,e302,,
,image-add,e304,,
,image-add-2,e303,,
,images,e305,,
,import,e307,,
,inbox,e308,,
,infinite,e309,,
,info-circle,e30b,,
,info-circle-2,e30a,,
,info-square,e30d,,
,info-square-2,e30c,,
,injection,e30f,,
,injection-2,e30e,,
,institution,e310,,
,intersect,e311,,
,invader,e312,,
,italic,e313,,
,joystick,e319,,
,joystick-2,e314,,
,joystick-3,e315,,
,joystick-4,e316,,
,joystick-button,e318,,
,joystick-button-2,e317,,
,key,e31c,,
,key-2,e31a,,
,keyboard,e31b,,
,knife,e31d,,
,label,e31f,,
,label-2,e31e,,
,landmark,e320,,
,landscape,e322,,
,landscape-2,e321,,
,laptop,e323,,
,last-page,e324,,
,laugh,e326,,
,laugh-2,e325,,
,layer,e32c,,
,layer-2,e327,,
,layer-minus,e329,,
,layer-minus-2,e328,,
,layer-plus,e32b,,
,layer-plus-2,e32a,,
,layout,e32e,,
,layout-2,e32d,,
,leaf,e330,,
,leaf-2,e32f,,
,left-arrow,e337,,
,left-arrow-2,e331,,
,left-arrow-3,e332,,
,left-arrow-4,e333,,
,left-arrow-circle,e335,,
,left-arrow-circle-2,e334,,
,left-arrow-square,e336,,
,left-down-arrow-circle,e339,,
,left-down-arrow-circle-2,e338,,
,left-indent,e33a,,
,left-top-arrow-circle,e33c,,
,left-top-arrow-circle-2,e33b,,
,lemon,e33e,,
,lemon-2,e33d,,
,library,e33f,,
,like,e341,,
,like-2,e340,,
,line-chart,e343,,
,line-chart-down,e342,,
,link,e346,,
,link-2,e344,,
,link-external,e345,,
,lira,e347,,
,list-check,e348,,
,list-minus,e349,,
,list-ol,e34a,,
,list-plus,e34b,,
,list-ul,e34c,,
,loader,e34f,,
,loader-2,e34d,,
,loader-circle,e34e,,
,location-plus,e351,,
,location-plus-2,e350,,
,lock,e359,,
,lock-2,e352,,
,lock-3,e353,,
,lock-4,e354,,
,lock-open,e358,,
,lock-open-2,e355,,
,lock-open-3,e356,,
,lock-open-4,e357,,
,log-in,e35d,,
,log-in-2,e35a,,
,log-in-circle,e35c,,
,log-in-circle-2,e35b,,
,log-out,e361,,
,log-out-2,e35e,,
,log-out-circle,e360,,
,log-out-circle-2,e35f,,
,low-vision,e363,,
,low-vision-2,e362,,
,magic-wand,e364,,
,magnet,e366,,
,magnet-2,e365,,
,mail-send,e367,,
,male,e36a,,
,male-female,e368,,
,male-sign,e369,,
,map,e370,,
,map-2,e36b,,
,map-3,e36c,,
,map-4,e36d,,
,map-pin,e36f,,
,map-pin-2,e36e,,
,mask,e372,,
,mask-2,e371,,
,math,e373,,
,medal,e375,,
,medal-2,e374,,
,megaphone,e376,,
,meh,e37c,,
,meh-2,e377,,
,meh-3,e378,,
,meh-4,e379,,
,meh-blank,e37b,,
,meh-blank-2,e37a,,
,memory-card,e37e,,
,memory-card-2,e37d,,
,menu,e381,,
,menu-left,e37f,,
,menu-right,e380,,
,merge,e382,,
,message,e3c6,,
,message-2,e383,,
,message-3,e384,,
,message-4,e385,,
,message-add,e389,,
,message-add-2,e386,,
,message-add-3,e387,,
,message-add-4,e388,,
,message-check,e38d,,
,message-check-2,e38a,,
,message-check-3,e38b,,
,message-check-4,e38c,,
,message-detail,e391,,
,message-detail-2,e38e,,
,message-detail-3,e38f,,
,message-detail-4,e390,,
,message-dots,e395,,
,message-dots-2,e392,,
,message-dots-3,e393,,
,message-dots-4,e394,,
,message-edit,e399,,
,message-edit-2,e396,,
,message-edit-3,e397,,
,message-edit-4,e398,,
,message-error,e39d,,
,message-error-2,e39a,,
,message-error-3,e39b,,
,message-error-4,e39c,,
,message-minus,e3a1,,
,message-minus-2,e39e,,
,message-minus-3,e39f,,
,message-minus-4,e3a0,,
,message-rounded,e3b1,,
,message-rounded-2,e3a2,,
,message-rounded-add,e3a4,,
,message-rounded-add-2,e3a3,,
,message-rounded-check,e3a6,,
,message-rounded-check-2,e3a5,,
