G,Name,U+,Style,Tags
,vaadin-v,e26d,,
,viewport,e26e,,
,vimeo,e270,,
,vimeo-2,e26f,,
,volume,e273,,
,volume-down,e271,,
,volumeff,e272,,
,volume-up,e274,,
,wallet,e275,,
,warning,e276,,
,workplace,e277,,
,wrench,e278,,
,youtube,e27a,,
,youtube-2,e279,,
