G,Name,U+,Style,Tags
,plus-2-2,e166,,
,plus-3,e168,,
,plus-square,e16a,,
,plus-square-2,e169,,
,power,e16d,,
,power-2,e16c,,
,pricetags,e16f,,
,pricetags-2,e16e,,
,printer,e171,,
,printer-2,e170,,
,question-mark,e175,,
,question-mark-2,e173,,
,question-mark-2-2,e172,,
,question-mark-3,e174,,
,radio,e17b,,
,radio-2,e176,,
,radio-button-off,e178,,
,radio-button-off-2,e177,,
,radio-button-on,e17a,,
,radio-button-on-2,e179,,
,recording,e17d,,
,recording-2,e17c,,
,refresh,e17f,,
,refresh-2,e17e,,
,repeat,e181,,
,repeat-2,e180,,
,rewind-left,e183,,
,rewind-left-2,e182,,
,rewind-right,e185,,
,rewind-right-2,e184,,
,save,e187,,
,save-2,e186,,
,scissors,e189,,
,scissors-2,e188,,
,search,e18b,,
,search-2,e18a,,
,settings,e18f,,
,settings-2,e18d,,
,settings-2-2,e18c,,
,settings-3,e18e,,
,shake,e191,,
,shake-2,e190,,
,share,e193,,
,share-2,e192,,
,shield,e197,,
,shield-2,e194,,
,shield-off,e196,,
,shield-off-2,e195,,
,shopping-bag,e199,,
,shopping-bag-2,e198,,
,shopping-cart,e19b,,
,shopping-cart-2,e19a,,
,shuffle,e19f,,
,shuffle-2,e19d,,
,shuffle-2-2,e19c,,
,shuffle-3,e19e,,
,skip-back,e1a1,,
,skip-back-2,e1a0,,
,skip-forward,e1a3,,
,skip-forward-2,e1a2,,
,slash,e1a5,,
,slash-2,e1a4,,
,smartphone,e1a7,,
,smartphone-2,e1a6,,
,smiling-face,e1a9,,
,smiling-face-2,e1a8,,
,speaker,e1ab,,
,speaker-2,e1aa,,
,square,e1ad,,
,square-2,e1ac,,
,star,e1af,,
,star-2,e1ae,,
,stop-2,e1b1,,
,stop-2-2,e1b0,,
,sun,e1b3,,
,sun-2,e1b2,,
,swap,e1b5,,
,swap-2,e1b4,,
,sync,e1b7,,
,sync-2,e1b6,,
,text,e1b9,,
,text-2,e1b8,,
,thermometer,e1bf,,
,thermometer-2,e1ba,,
,thermometer-minus,e1bc,,
,thermometer-minus-2,e1bb,,
,thermometer-plus,e1be,,
,thermometer-plus-2,e1bd,,
,toggle-left,e1c1,,
,toggle-left-2,e1c0,,
,toggle-right,e1c3,,
,toggle-right-2,e1c2,,
,trash,e1c7,,
,trash-2,e1c5,,
,trash-2-2,e1c4,,
,trash-3,e1c6,,
,trending-down,e1c9,,
,trending-down-2,e1c8,,
,trending-up,e1cb,,
,trending-up-2,e1ca,,
,tv,e1cd,,
,tv-2,e1cc,,
,twitter,e1cf,,
,twitter-2,e1ce,,
,umbrella,e1d1,,
,umbrella-2,e1d0,,
,undo,e1d3,,
,undo-2,e1d2,,
,unlock,e1d5,,
,unlock-2,e1d4,,
,upload,e1d7,,
,upload-2,e1d6,,
,video,e1db,,
,video-2,e1d8,,
,video-off,e1da,,
,video-off-2,e1d9,,
,volume-down,e1dd,,
,volume-down-2,e1dc,,
,volume-mute,e1df,,
,volume-mute-2,e1de,,
,volume-off,e1e1,,
,volume-off-2,e1e0,,
,volume-up,e1e3,,
,volume-up-2,e1e2,,
,wifi,e1e7,,
,wifi-2,e1e4,,
,wifi-off,e1e6,,
,wifi-off-2,e1e5,,
