G,Name,U+,Style,Tags
,bmw,e171,,
,bnbchain,e172,,
,boardgamegeek,e173,,
,boat,e174,,
,boehringeringelheim,e175,,
,boeing,e176,,
,bombardier,e177,,
,bookalope,e178,,
,bookbub,e179,,
,bookmeter,e17a,,
,bookmyshow,e17b,,
,bookstack,e17c,,
,boost,e17d,,
,boosty,e17e,,
,boots,e17f,,
,bootstrap,e180,,
,borgbackup,e181,,
,bosch,e182,,
,bose,e183,,
,botblecms,e184,,
,boulanger,e185,,
,bower,e186,,
,box,e187,,
,boxysvg,e188,,
,braintree,e189,,
,brandfolder,e18a,,
,brave,e18b,,
,breaker,e18c,,
,brenntag,e18d,,
,brevo,e18e,,
,brex,e18f,,
,bricks,e190,,
,britishairways,e191,,
,broadcom,e192,,
,bsd,e193,,
,bspwm,e194,,
,bt,e195,,
,buddy,e196,,
,budibase,e197,,
,buefy,e198,,
,buffer,e199,,
,bugatti,e19a,,
,bugcrowd,e19b,,
,bugsnag,e19c,,
,buildkite,e19d,,
,bukalapak,e19e,,
,bulma,e19f,,
,bun,e1a2,,
,bungie,e1a0,,
,bunq,e1a1,,
,burgerking,e1a3,,
,burpsuite,e1a4,,
,burton,e1a5,,
,buymeacoffee,e1a6,,
,buysellads,e1a7,,
,buzzfeed,e1a8,,
,bvg,e1a9,,
,byjus,e1aa,,
,bytedance,e1ab,,
,c,e27f,,
,cachet,e1ac,,
,caddy,e1ad,,
,cadillac,e1ae,,
,cafepress,e1af,,
,caffeine,e1b0,,
,cairographics,e1b1,,
,cairometro,e1b2,,
,cakephp,e1b3,,
,calendly,e1b4,,
,campaignmonitor,e1b5,,
,camunda,e1b6,,
,canonical,e1b7,,
,canva,e1b9,,
,canvas,e1b8,,
,capacitor,e1ba,,
,cardano,e1bb,,
,carlsberggroup,e1bc,,
,carrd,e1bd,,
,carrefour,e1be,,
,carthrottle,e1bf,,
,carto,e1c0,,
,cashapp,e1c1,,
,castbox,e1c2,,
,castorama,e1c3,,
,castro,e1c4,,
,caterpillar,e1c5,,
,cbc,e1c6,,
,cbs,e1c7,,
,ccleaner,e1c8,,
,cdprojekt,e1c9,,
,celery,e1ca,,
,celestron,e1cb,,
,centos,e1cc,,
,ceph,e1cd,,
,cesium,e1ce,,
,chai,e1d1,,
,chainguard,e1cf,,
,chainlink,e1d0,,
,chakraui,e1d2,,
,channel4,e1d3,,
,charles,e1d4,,
,chartdotjs,e1d5,,
,chartmogul,e1d6,,
,chase,e1d7,,
,chatbot,e1d8,,
,chatwoot,e1d9,,
,checkio,e1da,,
,checkmarx,e1db,,
,checkmk,e1dc,,
,chedraui,e1dd,,
,cheerio,e1de,,
,chef,e1df,,
,chemex,e1e0,,
,chessdotcom,e1e1,,
,chevrolet,e1e2,,
,chianetwork,e1e3,,
,chinaeasternairlines,e1e4,,
,chinasouthernairlines,e1e5,,
,chocolatey,e1e6,,
,chromatic,e1e7,,
,chromecast,e1e8,,
,chrysler,e1e9,,
,chupachups,e1ea,,
,cilium,e1eb,,
,cinema4d,e1ec,,
,circle,e1ee,,
,circleci,e1ed,,
,circuitverse,e1ef,,
,cirrusci,e1f0,,
,cisco,e1f1,,
,citrix,e1f2,,
,citroen,e1f3,,
,civicrm,e1f4,,
,civo,e1f5,,
,ckeditor4,e1f6,,
,clarifai,e1f7,,
,claris,e1f8,,
,clarivate,e1f9,,
,clerk,e1fa,,
,clevercloud,e1fb,,
,clickhouse,e1fc,,
,clickup,e1fd,,
,clion,e1fe,,
,cliqz,e1ff,,
,clockify,e200,,
,clojure,e201,,
,cloud66,e202,,
,cloudbees,e203,,
,cloudcannon,e204,,
,cloudera,e205,,
,cloudflare,e207,,
,cloudflarepages,e206,,
,cloudflareworkers,e208,,
,cloudfoundry,e209,,
,cloudinary,e20a,,
,cloudron,e20b,,
,cloudsmith,e20c,,
,cloudways,e20d,,
,clubforce,e20e,,
,clubhouse,e20f,,
,clyp,e210,,
,cmake,e211,,
,cncf,e212,,
,cnet,e213,,
,cnn,e214,,
,cocacola,e215,,
,cockpit,e216,,
,cockroachlabs,e217,,
,cocoapods,e218,,
,cocos,e219,,
,coda,e21b,,
,codacy,e21a,,
,codeberg,e21c,,
,codeblocks,e21d,,
,codecademy,e21e,,
,codeceptjs,e21f,,
,codechef,e220,,
,codeclimate,e221,,
,codecov,e222,,
,codefactor,e223,,
,codeforces,e224,,
,codefresh,e225,,
,codeigniter,e226,,
,codeium,e227,,
,codemagic,e228,,
,codementor,e229,,
,codemirror,e22a,,
,codenewbie,e22b,,
,codepen,e22c,,
,codeproject,e22d,,
,codersrank,e22e,,
,coderwall,e22f,,
,codesandbox,e230,,
,codeship,e231,,
,codesignal,e232,,
,codestream,e233,,
,codewars,e234,,
,codingame,e235,,
,codingninjas,e236,,
,codio,e237,,
,coffeescript,e238,,
,coggle,e239,,
,cognizant,e23a,,
,coil,e23b,,
,coinbase,e23c,,
,coinmarketcap,e23d,,
,comicfury,e23e,,
,commerzbank,e23f,,
,commitlint,e240,,
,commodore,e241,,
,commonworkflowlanguage,e242,,
,compilerexplorer,e243,,
,composer,e244,,
,comptia,e245,,
,comsol,e246,,
,conan,e247,,
,concourse,e248,,
,condaforge,e249,,
,conekta,e24a,,
,confluence,e24b,,
,construct3,e24c,,
,consul,e24d,,
,contactlesspayment,e24e,,
,containerd,e24f,,
,contao,e250,,
,contentful,e251,,
,contentstack,e252,,
,contributorcovenant,e253,,
,conventionalcommits,e254,,
,convertio,e255,,
,cookiecutter,e256,,
,coolermaster,e257,,
,coop,e258,,
,copaairlines,e259,,
,coppel,e25a,,
,cora,e25b,,
,coreldraw,e25c,,
,coronaengine,e25d,,
,coronarenderer,e25e,,
,corsair,e25f,,
,couchbase,e260,,
,counterstrike,e261,,
,countingworkspro,e262,,
,coursera,e263,,
,coveralls,e264,,
,cpanel,e265,,
,cplusplus,e267,,
,cplusplusbuilder,e266,,
,craftcms,e268,,
,craftsman,e269,,
,cratedb,e26a,,
,crayon,e26b,,
,creality,e26c,,
,createreactapp,e26d,,
,creativecommons,e26e,,
,creativetechnology,e26f,,
,credly,e270,,
,crehana,e271,,
,crewunited,e272,,
,criticalrole,e273,,
,crowdin,e274,,
,crowdsource,e275,,
,crunchbase,e276,,
,crunchyroll,e277,,
,cryengine,e278,,
,cryptpad,e279,,
,crystal,e27a,,
,csharp,e27b,,
,css3,e27c,,
,cssmodules,e27d,,
,csswizardry,e27e,,
,cts,e280,,
,cucumber,e281,,
,cultura,e282,,
,curl,e283,,
,curseforge,e284,,
,customink,e285,,
,cyberdefenders,e286,,
,cycling74,e287,,
,cypress,e288,,
,cytoscapedotjs,e289,,
,d,e2fc,,
,d3dotjs,e28a,,
,dacia,e28b,,
,daf,e28c,,
,dailydotdev,e28d,,
,dailymotion,e28e,,
,daimler,e28f,,
,daisyui,e290,,
,dapr,e291,,
,darkreader,e292,,
,dart,e293,,
,darty,e294,,
,daserste,e295,,
,dash,e297,,
,dashlane,e296,,
,dask,e298,,
,dassaultsystemes,e299,,
,databricks,e29a,,
,datacamp,e29b,,
,datadog,e29c,,
,datadotai,e29d,,
,datagrip,e29e,,
,dataiku,e29f,,
,datastax,e2a0,,
,dataverse,e2a1,,
,datefns,e2a2,,
,datocms,e2a3,,
,datto,e2a4,,
,davinciresolve,e2a5,,
,dazhongdianping,e2a6,,
,dazn,e2a7,,
,dbeaver,e2a8,,
,dblp,e2a9,,
,dbt,e2aa,,
,dcentertainment,e2ab,,
,debian,e2ac,,
,decapcms,e2ad,,
,decentraland,e2ae,,
,dedge,e2af,,
,deepcool,e2b0,,
,deepgram,e2b1,,
,deepin,e2b2,,
,deepl,e2b3,,
,deepnote,e2b4,,
,delicious,e2b5,,
,deliveroo,e2b6,,
,dell,e2b7,,
,delonghi,e2b8,,
,delphi,e2b9,,
,delta,e2ba,,
,deluge,e2bb,,
,deno,e2bd,,
,denon,e2bc,,
,dependabot,e2be,,
,dependencycheck,e2bf,,
,depositphotos,e2c0,,
,derspiegel,e2c1,,
,designernews,e2c2,,
,deutschebahn,e2c3,,
,deutschebank,e2c4,,
,deutschepost,e2c5,,
,devdotto,e2c6,,
,devexpress,e2c7,,
,deviantart,e2c8,,
,devpost,e2c9,,
,devrant,e2ca,,
,dgraph,e2cb,,
,dhl,e2cc,,
,diagramsdotnet,e2cd,,
,dialogflow,e2ce,,
,diaspora,e2cf,,
,digg,e2d0,,
,digikeyelectronics,e2d1,,
,digitalocean,e2d2,,
,dinersclub,e2d3,,
,dior,e2d4,,
,directus,e2d5,,
,discogs,e2d6,,
,discord,e2d7,,
,discourse,e2d8,,
,discover,e2d9,,
,disqus,e2da,,
,disroot,e2db,,
,distrokid,e2dc,,
,django,e2dd,,
,dji,e2de,,
,dlib,e2df,,
,dlna,e2e0,,
,dm,e2e1,,
,docker,e2e2,,
,docsdotrs,e2e3,,
,docsify,e2e4,,
,docusaurus,e2e5,,
,docusign,e2e6,,
,dogecoin,e2e7,,
,doi,e2e8,,
,dolby,e2e9,,
,doordash,e2ea,,
,dotenv,e2eb,,
,dotnet,e2ec,,
,douban,e2ee,,
,doubanread,e2ed,,
,dovecot,e2ef,,
,doxygen,e2f0,,
,dpd,e2f1,,
,dragonframe,e2f2,,
,draugiemdotlv,e2f3,,
,dreamstime,e2f4,,
,dribbble,e2f5,,
,drizzle,e2f6,,
,drone,e2f7,,
,drooble,e2f8,,
,dropbox,e2f9,,
,drupal,e2fa,,
,dsautomobiles,e2fb,,
,dts,e2fd,,
,dtube,e2fe,,
,ducati,e2ff,,
,duckdb,e300,,
,duckduckgo,e301,,
,dungeonsanddragons,e302,,
,dunked,e303,,
,dunzo,e304,,
,duolingo,e305,,
,dvc,e306,,
,dwavesystems,e307,,
,dwm,e308,,
,dynamics365,e309,,
,dynatrace,e30a,,
,e,e353,,
,e3,e30b,,
,ea,e30d,,
,eagle,e30c,,
,easyeda,e30e,,
,easyjet,e30f,,
,ebay,e310,,
,ebox,e311,,
,eclipseadoptium,e312,,
,eclipseche,e313,,
,eclipseide,e314,,
,eclipsejetty,e315,,
,eclipsemosquitto,e316,,
,eclipsevertdotx,e317,,
,ecovacs,e318,,
,edeka,e319,,
,edgeimpulse,e31a,,
,editorconfig,e31b,,
,edotleclerc,e31c,,
,educative,e31d,,
,edx,e31e,,
,egghead,e31f,,
,egnyte,e320,,
,eight,e322,,
,eightsleep,e321,,
,ejs,e323,,
,elastic,e327,,
,elasticcloud,e324,,
,elasticsearch,e325,,
,elasticstack,e326,,
,elavon,e328,,
,electron,e32b,,
,electronbuilder,e329,,
,electronfiddle,e32a,,
,elegoo,e32c,,
,element,e32f,,
,elementary,e32d,,
,elementor,e32e,,
,eleventy,e330,,
,elgato,e331,,
,elixir,e332,,
,eljueves,e333,,
,ello,e334,,
,elm,e335,,
,elsevier,e336,,
,embarcadero,e337,,
,embark,e338,,
,emberdotjs,e339,,
,emby,e33a,,
,emirates,e33b,,
,emlakjet,e33c,,
,empirekred,e33d,,
,endeavouros,e33e,,
,engadget,e33f,,
,enpass,e340,,
,enterprisedb,e341,,
,envato,e342,,
,envoyproxy,e343,,
,epel,e344,,
,epicgames,e345,,
,epson,e346,,
,equinixmetal,e347,,
,ericsson,e348,,
,erlang,e349,,
,erpnext,e34a,,
,esbuild,e34b,,
,esea,e34c,,
,eslgaming,e34d,,
,eslint,e34e,,
,esotericsoftware,e34f,,
,esphome,e350,,
,espressif,e351,,
,esri,e352,,
,etcd,e354,,
,ethereum,e355,,
,ethers,e356,,
,ethiopianairlines,e357,,
,etihadairways,e358,,
,etsy,e359,,
,eventbrite,e35a,,
,eventstore,e35b,,
,evernote,e35c,,
,excalidraw,e35d,,
,exercism,e35e,,
,exordo,e35f,,
,exoscale,e360,,
,expedia,e361,,
,expensify,e362,,
,expertsexchange,e363,,
,expo,e364,,
,express,e365,,
,expressvpn,e366,,
,eyeem,e367,,
,f1,e368,,
,f5,e369,,
,facebook,e36c,,
,facebookgaming,e36a,,
,facebooklive,e36b,,
,faceit,e36d,,
,facepunch,e36e,,
,fairphone,e36f,,
,falco,e371,,
,falcon,e370,,
,fampay,e372,,
,fandango,e373,,
,fandom,e374,,
,fanfou,e375,,
,fantom,e376,,
,farcaster,e377,,
,fareharbor,e378,,
,farfetch,e379,,
,fastapi,e37a,,
,fastify,e37b,,
,fastlane,e37c,,
,fastly,e37d,,
,fathom,e37e,,
,fauna,e37f,,
,favro,e380,,
,fdroid,e381,,
,feathub,e382,,
,fedex,e383,,
,fedora,e384,,
,feedly,e385,,
,ferrari,e387,,
,ferrarinv,e386,,
,ferretdb,e388,,
,ffmpeg,e389,,
,fi,e39f,,
,fiat,e38a,,
,fidoalliance,e38b,,
,fifa,e38c,,
,fig,e38f,,
,figma,e38d,,
,figshare,e38e,,
,fila,e390,,
,filedotio,e391,,
,files,e392,,
,filezilla,e393,,
,fineco,e394,,
,fing,e395,,
,firebase,e396,,
,firefish,e397,,
,fireflyiii,e398,,
,firefox,e39a,,
,firefoxbrowser,e399,,
,fireship,e39b,,
,firewalla,e39c,,
,first,e39d,,
,fishshell,e39e,,
,fitbit,e3a0,,
,fite,e3a1,,
,fivem,e3a2,,
,fiverr,e3a3,,
,flashforge,e3a4,,
,flask,e3a5,,
,flat,e3a8,,
,flathub,e3a6,,
,flatpak,e3a7,,
,flattr,e3a9,,
,flickr,e3aa,,
,flightaware,e3ab,,
,flipboard,e3ac,,
,flipkart,e3ad,,
,floatplane,e3ae,,
,flood,e3af,,
,fluentbit,e3b0,,
,fluentd,e3b1,,
,fluke,e3b2,,
,flutter,e3b3,,
,flux,e3b4,,
,fluxus,e3b5,,
,flyway,e3b6,,
,fmod,e3b7,,
,fnac,e3b8,,
,folium,e3b9,,
,fonoma,e3ba,,
,fontawesome,e3bb,,
,fontbase,e3bc,,
,fontforge,e3bd,,
,foobar2000,e3be,,
,foodpanda,e3bf,,
,ford,e3c0,,
,forgejo,e3c1,,
,formspree,e3c2,,
,formstack,e3c3,,
,fortinet,e3c4,,
,fortran,e3c5,,
,fossa,e3c6,,
,fossilscm,e3c7,,
,foursquare,e3c9,,
,foursquarecityguide,e3c8,,
,fox,e3ca,,
,foxtel,e3cb,,
,fozzy,e3cc,,
,framer,e3cd,,
,framework,e3cf,,
,framework7,e3ce,,
,franprix,e3d0,,
,frappe,e3d1,,
,fraunhofergesellschaft,e3d2,,
,freebsd,e3d3,,
,freecodecamp,e3d4,,
,freedesktopdotorg,e3d5,,
,freelancer,e3d6,,
,freenas,e3d7,,
,freepik,e3d8,,
,frontendmentor,e3d9,,
,frontify,e3da,,
,fsecure,e3db,,
,fsharp,e3dc,,
,fubo,e3dd,,
,fueler,e3de,,
,fugacloud,e3df,,
,fujifilm,e3e0,,
,fujitsu,e3e1,,
,funimation,e3e2,,
,furaffinity,e3e3,,
,furrynetwork,e3e4,,
,futurelearn,e3e5,,
,g2,e3e8,,
,g2a,e3e6,,
,g2g,e3e7,,
,galaxus,e3e9,,
,gameandwatch,e3ea,,
,gamebanana,e3eb,,
,gamedeveloper,e3ec,,
,gamejolt,e3ed,,
,gameloft,e3ee,,
,gamemaker,e3ef,,
,garmin,e3f0,,
,gatling,e3f1,,
,gatsby,e3f2,,
,gcore,e3f3,,
,gdal,e3f4,,
,geant,e3f5,,
,geeksforgeeks,e3f6,,
,generalelectric,e3f7,,
,generalmotors,e3f8,,
,genius,e3f9,,
,gentoo,e3fa,,
,geocaching,e3fb,,
,geopandas,e3fc,,
,gerrit,e3fd,,
,getx,e3fe,,
,ghost,e400,,
,ghostery,e3ff,,
,gimp,e401,,
,gin,e402,,
,giphy,e403,,
,git,e413,,
,gitbook,e404,,
,gitconnected,e405,,
,gitea,e406,,
,gitee,e407,,
,gitextensions,e408,,
,github,e40d,,
,githubactions,e409,,
,githubcopilot,e40a,,
,githubpages,e40b,,
,githubsponsors,e40c,,
,gitignoredotio,e40e,,
,gitkraken,e40f,,
,gitlab,e410,,
,gitlfs,e411,,
,gitpod,e412,,
,gitter,e414,,
,glassdoor,e415,,
,glide,e416,,
,glitch,e417,,
,globus,e418,,
,glovo,e419,,
,gmail,e41a,,
,gnome,e41b,,
,gnometerminal,e41c,,
,gnu,e422,,
,gnubash,e41d,,
,gnuemacs,e41e,,
,gnuicecat,e41f,,
,gnuprivacyguard,e420,,
,gnusocial,e421,,
,go,e46b,,
,gocd,e423,,
,godaddy,e424,,
,godotengine,e425,,
,gofundme,e426,,
,gogdotcom,e427,,
,gojek,e428,,
,goland,e429,,
,goldenline,e42a,,
,goldmansachs,e42b,,
,goodreads,e42c,,
,google,e467,,
,googleadmob,e42d,,
,googleads,e42f,,
,googleadsense,e42e,,
,googleanalytics,e430,,
,googleappsscript,e431,,
,googleassistant,e432,,
,googleauthenticator,e433,,
,googlebard,e434,,
,googlebigquery,e435,,
,googlebigtable,e436,,
,googlecalendar,e437,,
,googlecampaignmanager360,e438,,
,googlecardboard,e439,,
,googlechat,e43a,,
,googlechrome,e43b,,
