G,Name,U+,Style,Tags
,baseball,e165,,
,baseball-bat,e162,,
,baseball-bat-2,e161,,
,baseball-cap,e164,,
,baseball-cap-2,e163,,
,basketball,e16b,,
,basketball-clothes,e167,,
,basketball-clothes-2,e166,,
,basketball-one,e169,,
,basketball-one-2,e168,,
,basketball-stand,e16a,,
,bat,e16d,,
,bat-2,e16c,,
,battery-charge,e16e,,
,battery-empty,e170,,
,battery-empty-2,e16f,,
,battery-failure,e172,,
,battery-failure-2,e171,,
,battery-full,e174,,
,battery-full-2,e173,,
,battery-storage,e176,,
,battery-storage-2,e175,,
,battery-tips,e178,,
,battery-tips-2,e177,,
,battery-working,e17c,,
,battery-working-2,e179,,
,battery-working-one,e17b,,
,battery-working-one-2,e17a,,
,beach-umbrella,e17e,,
,beach-umbrella-2,e17d,,
,bear,e180,,
,bear-2,e17f,,
,beauty,e184,,
,beauty-2,e181,,
,beauty-instrument,e183,,
,beauty-instrument-2,e182,,
,bedside,e186,,
,bedside-2,e185,,
,bedside-two,e188,,
,bedside-two-2,e187,,
,bee,e18e,,
,bee-2,e189,,
,beer,e18d,,
,beer-2,e18a,,
,beer-mug,e18c,,
,beer-mug-2,e18b,,
,behance,e18f,,
,bell-ring,e191,,
,bell-ring-2,e190,,
,belt,e192,,
,benz,e194,,
,benz-2,e193,,
,bezier-curve,e196,,
,bezier-curve-2,e195,,
,bib,e198,,
,bib-2,e197,,
,big-clock,e19a,,
,big-clock-2,e199,,
,big-x,e19c,,
,big-x-2,e19b,,
,bike,e19e,,
,bike-2,e19d,,
,bill,e1a0,,
,bill-2,e19f,,
,bird,e1a2,,
,bird-2,e1a1,,
,birthday-cake,e1a4,,
,birthday-cake-2,e1a3,,
,bitcoin,e1a6,,
,bitcoin-2,e1a5,,
,blackboard,e1a8,,
,blackboard-2,e1a7,,
,black-eight,e1aa,,
,black-eight-2,e1a9,,
,blade,e1ac,,
,blade-2,e1ab,,
,block,e1bf,,
,blockchain,e1ae,,
,blockchain-2,e1ad,,
,block-eight,e1b0,,
,block-eight-2,e1af,,
,block-five,e1b2,,
,block-five-2,e1b1,,
,block-four,e1b4,,
,block-four-2,e1b3,,
,block-nine,e1b6,,
,block-nine-2,e1b5,,
,block-one,e1b8,,
,block-one-2,e1b7,,
,blocks-and-arrows,e1ba,,
,blocks-and-arrows-2,e1b9,,
,block-seven,e1bc,,
,block-seven-2,e1bb,,
,block-six,e1be,,
,block-six-2,e1bd,,
,block-ten,e1c1,,
,block-ten-2,e1c0,,
,block-three,e1c3,,
,block-three-2,e1c2,,
,block-two,e1c5,,
,block-two-2,e1c4,,
,bloom,e1c7,,
,bloom-2,e1c6,,
,blossom,e1c9,,
,blossom-2,e1c8,,
,bluetooth,e1ca,,
,boiler,e1cc,,
,boiler-2,e1cb,,
,bolt-one,e1ce,,
,bolt-one-2,e1cd,,
,bone,e1cf,,
,book,e1dd,,
,book-2,e1d0,,
,bookmark,e1d4,,
,bookmark-2,e1d1,,
,bookmark-one,e1d3,,
,bookmark-one-2,e1d2,,
,bookmark-three,e1d6,,
,bookmark-three-2,e1d5,,
,book-one,e1d8,,
,book-one-2,e1d7,,
,book-open,e1da,,
,book-open-2,e1d9,,
,bookshelf,e1dc,,
,bookshelf-2,e1db,,
,booster-car-seat,e1df,,
,booster-car-seat-2,e1de,,
,booth,e1e1,,
,booth-2,e1e0,,
,boots,e1e2,,
,bottle,e1e6,,
,bottle-2,e1e3,,
,bottle-one,e1e5,,
,bottle-one-2,e1e4,,
,bottle-three,e1e8,,
,bottle-three-2,e1e7,,
,bottle-two,e1ea,,
,bottle-two-2,e1e9,,
,bottom-bar,e1ee,,
,bottom-bar-2,e1eb,,
,bottom-bar-one,e1ed,,
,bottom-bar-one-2,e1ec,,
,bow,e1f5,,
,bow-2,e1ef,,
,bowl,e1f4,,
,bowl-2,e1f0,,
,bowling,e1f1,,
,bowl-one,e1f3,,
,bowl-one-2,e1f2,,
,box,e1fa,,
,box-2,e1f6,,
,boxing,e1f9,,
,boxing-2,e1f7,,
,boxing-one,e1f8,,
,boy,e200,,
,boy-2,e1fb,,
,boy-one,e1fd,,
,boy-one-2,e1fc,,
,boy-stroller,e1ff,,
,boy-stroller-2,e1fe,,
,boy-two,e202,,
,boy-two-2,e201,,
,brain,e204,,
,brain-2,e203,,
,brake-pads,e206,,
,brake-pads-2,e205,,
,branch,e20a,,
,branch-2,e207,,
,branch-one,e209,,
,branch-one-2,e208,,
,branch-two,e20c,,
,branch-two-2,e20b,,
,brdige-three,e20d,,
,bread,e213,,
,bread-2,e20e,,
,bread-machine,e210,,
,bread-machine-2,e20f,,
,bread-one,e212,,
,bread-one-2,e211,,
,breast-pump,e215,,
,breast-pump-2,e214,,
,bridge-one,e217,,
,bridge-one-2,e216,,
,bridge-two,e218,,
,briefcase,e21a,,
,briefcase-2,e219,,
,brightness,e21c,,
,brightness-2,e21b,,
,bring-forward,e21e,,
,bring-forward-2,e21d,,
,bring-to-front,e222,,
,bring-to-front-2,e21f,,
,bring-to-front-one,e221,,
,bring-to-front-one-2,e220,,
,broadcast,e228,,
,broadcast-2,e223,,
,broadcast-one,e225,,
,broadcast-one-2,e224,,
,broadcast-radio,e227,,
,broadcast-radio-2,e226,,
,browser,e22d,,
,browser-2,e229,,
,browser-chrome,e22a,,
,browser-safari,e22c,,
,browser-safari-2,e22b,,
,bubble-chart,e22f,,
,bubble-chart-2,e22e,,
,bug,e231,,
,bug-2,e230,,
,building-four,e233,,
,building-four-2,e232,,
,building-one,e235,,
,building-one-2,e234,,
,building-three,e237,,
,building-three-2,e236,,
,building-two,e239,,
,building-two-2,e238,,
