G,Name,U+,Style,Tags
,play,e1b2,,
,play-3,e1b1,,
,plug,e1b4,,
,plug-3,e1b3,,
,plus,e1b8,,
,plus-2,e1b5,,
,plus-3,e1b6,,
,plus-4,e1b7,,
,project,e1bc,,
,project-3,e1b9,,
,project-roadmap,e1bb,,
,project-roadmap-3,e1ba,,
,project-symlink,e1be,,
,project-symlink-3,e1bd,,
,project-template,e1c0,,
,project-template-3,e1bf,,
,pulse,e1c2,,
,pulse-3,e1c1,,
,question,e1c4,,
,question-3,e1c3,,
,quote,e1c6,,
,quote-3,e1c5,,
,read,e1c8,,
,read-3,e1c7,,
,redo,e1ca,,
,redo-3,e1c9,,
,rel-file-path,e1cc,,
,rel-file-path-3,e1cb,,
,reply,e1ce,,
,reply-3,e1cd,,
,repo,e1de,,
,repo-3,e1cf,,
,repo-clone,e1d1,,
,repo-clone-3,e1d0,,
,repo-delete-3,e1d2,,
,repo-deleted,e1d3,,
,repo-forked,e1d5,,
,repo-forked-3,e1d4,,
,repo-locked,e1d7,,
,repo-locked-3,e1d6,,
,repo-pull,e1d9,,
,repo-pull-3,e1d8,,
,repo-push,e1db,,
,repo-push-3,e1da,,
,report,e1dd,,
,report-3,e1dc,,
,repo-template,e1e0,,
,repo-template-3,e1df,,
,rocket,e1e2,,
,rocket-3,e1e1,,
,rows,e1e4,,
,rows-3,e1e3,,
,rss,e1e6,,
,rss-3,e1e5,,
,ruby,e1e8,,
,ruby-3,e1e7,,
,screen-full,e1ea,,
,screen-full-3,e1e9,,
,screen-normal,e1ec,,
,screen-normal-3,e1eb,,
,search,e1ee,,
,search-3,e1ed,,
,server,e1f0,,
,server-3,e1ef,,
,share,e1f4,,
,share-3,e1f1,,
,share-android,e1f3,,
,share-android-3,e1f2,,
,shield,e1fc,,
,shield-3,e1f5,,
,shield-check,e1f7,,
,shield-check-3,e1f6,,
,shield-lock,e1f9,,
,shield-lock-3,e1f8,,
,shield-slash,e1fb,,
,shield-slash-3,e1fa,,
,shield-x,e1fe,,
,shield-x-3,e1fd,,
,sidebar-collapse,e200,,
,sidebar-collapse-3,e1ff,,
,sidebar-expand,e202,,
,sidebar-expand-3,e201,,
,sign-in,e204,,
,sign-in-3,e203,,
,sign-out,e206,,
,sign-out-3,e205,,
,single-select,e208,,
,single-select-3,e207,,
,skip,e20c,,
,skip-3,e209,,
