G,Name,U+,Style,Tags
,ellipsis-vertical,e1eb,,
,equal,e1ed,,
,equal-not,e1ec,,
,eraser,e1ee,,
,euro,e1ef,,
,expand,e1f0,,
,external-link,e1f1,,
,eye,e1f3,,
,eye-off,e1f2,,
,facebook,e1f4,,
,factory,e1f5,,
,fan,e1f6,,
,fast-forward,e1f7,,
,feather,e1f8,,
,fence,e1f9,,
,ferris-wheel,e1fa,,
,figma,e1fb,,
,file,e229,,
,file-archive,e1fc,,
,file-audio,e1fe,,
,file-audio-2,e1fd,,
,file-axis-3d,e1ff,,
,file-badge,e201,,
,file-badge-2,e200,,
,file-bar-chart,e203,,
,file-bar-chart-2,e202,,
,file-box,e204,,
,file-check,e206,,
,file-check-2,e205,,
,file-clock,e207,,
,file-code,e209,,
,file-code-2,e208,,
,file-cog,e20a,,
,file-diff,e20b,,
,file-digit,e20c,,
,file-down,e20d,,
,file-heart,e20e,,
,file-image,e20f,,
,file-input,e210,,
,file-json,e212,,
,file-json-2,e211,,
,file-key,e214,,
,file-key-2,e213,,
,file-line-chart,e215,,
,file-lock,e217,,
,file-lock-2,e216,,
,file-minus,e219,,
,file-minus-2,e218,,
,file-music,e21a,,
,file-output,e21b,,
,file-pen,e21d,,
,file-pen-line,e21c,,
,file-pie-chart,e21e,,
,file-plus,e220,,
,file-plus-2,e21f,,
,file-question,e221,,
,files,e227,,
,file-scan,e222,,
,file-search,e224,,
,file-search-2,e223,,
,file-sliders,e225,,
,file-spreadsheet,e226,,
,file-stack,e228,,
,file-symlink,e22a,,
,file-terminal,e22b,,
,file-text,e22c,,
,file-type,e22e,,
,file-type-2,e22d,,
,file-up,e22f,,
,file-video,e231,,
,file-video-2,e230,,
,file-volume,e233,,
,file-volume-2,e232,,
,file-warning,e234,,
,file-x,e236,,
,file-x-2,e235,,
,film,e237,,
,filter,e238,,
,filter-x,e239,,
,fingerprint,e23a,,
,fire-extinguisher,e23b,,
,fish,e23d,,
,fish-off,e23c,,
,fish-symbol,e23e,,
,flag,e240,,
,flag-off,e23f,,
,flag-triangle-left,e241,,
,flag-triangle-right,e242,,
,flame,e244,,
,flame-kindling,e243,,
,flashlight,e246,,
,flashlight-off,e245,,
,flask-conical,e248,,
,flask-conical-off,e247,,
,flask-round,e249,,
,flip-horizontal,e24b,,
,flip-horizontal-2,e24a,,
,flip-vertical,e24d,,
,flip-vertical-2,e24c,,
,flower,e24f,,
,flower-2,e24e,,
,focus,e250,,
,folder,e269,,
,folder-archive,e251,,
,folder-check,e252,,
,folder-clock,e253,,
,folder-closed,e254,,
,folder-cog,e255,,
,folder-dot,e256,,
,folder-down,e257,,
,folder-git,e259,,
,folder-git-2,e258,,
,folder-heart,e25a,,
,folder-input,e25b,,
,folder-kanban,e25c,,
,folder-key,e25d,,
,folder-lock,e25e,,
,folder-minus,e25f,,
,folder-open,e261,,
,folder-open-dot,e260,,
,folder-output,e262,,
,folder-pen,e263,,
,folder-plus,e264,,
,folder-root,e265,,
,folders,e268,,
,folder-search,e267,,
,folder-search-2,e266,,
,folder-symlink,e26a,,
,folder-sync,e26b,,
,folder-tree,e26c,,
,folder-up,e26d,,
,folder-x,e26e,,
,fold-horizontal,e26f,,
,fold-vertical,e270,,
,footprints,e271,,
,forklift,e272,,
,forward,e273,,
,frame,e275,,
,framer,e274,,
,frown,e276,,
,fuel,e277,,
,fullscreen,e278,,
,gallery-horizontal,e27a,,
,gallery-horizontal-end,e279,,
,gallery-thumbnails,e27b,,
,gallery-vertical,e27d,,
,gallery-vertical-end,e27c,,
,gamepad,e27f,,
,gamepad-2,e27e,,
,gantt-chart,e280,,
,gauge,e281,,
,gavel,e282,,
,gem,e283,,
,ghost,e284,,
,gift,e285,,
,git-branch,e287,,
,git-branch-plus,e286,,
,git-commit-horizontal,e288,,
,git-commit-vertical,e289,,
,git-compare,e28b,,
,git-compare-arrows,e28a,,
,git-fork,e28c,,
,git-graph,e28d,,
,github,e28e,,
,gitlab,e28f,,
,git-merge,e290,,
,git-pull-request,e296,,
,git-pull-request-arrow,e291,,
,git-pull-request-closed,e292,,
,git-pull-request-create,e294,,
,git-pull-request-create-arrow,e293,,
,git-pull-request-draft,e295,,
,glasses,e297,,
,glass-water,e298,,
,globe,e29a,,
,globe-lock,e299,,
,goal,e29b,,
,grab,e29c,,
,graduation-cap,e29d,,
,grape,e29e,,
,grid-2x2,e2a0,,
,grid-2x2-check,e29f,,
,grid-2x2-x,e2a1,,
,grid-3x3,e2a2,,
,grip,e2a4,,
,grip-horizontal,e2a3,,
,grip-vertical,e2a5,,
,group,e2a6,,
,guitar,e2a7,,
,ham,e2a9,,
,hammer,e2a8,,
,hand,e2b0,,
,hand-coins,e2aa,,
,hand-heart,e2ab,,
,hand-helping,e2ac,,
,hand-metal,e2ad,,
,hand-platter,e2ae,,
,handshake,e2af,,
,hard-drive,e2b2,,
,hard-drive-download,e2b1,,
,hard-drive-upload,e2b3,,
,hard-hat,e2b4,,
,hash,e2b5,,
,haze,e2b6,,
,hdmi-port,e2b7,,
,heading,e2be,,
,heading-1,e2b8,,
,heading-2,e2b9,,
,heading-3,e2ba,,
,heading-4,e2bb,,
,heading-5,e2bc,,
,heading-6,e2bd,,
,headphones,e2bf,,
,headset,e2c0,,
,heart,e2c5,,
,heart-crack,e2c1,,
,heart-handshake,e2c2,,
,heart-off,e2c3,,
,heart-pulse,e2c4,,
,heater,e2c6,,
,hexagon,e2c7,,
,highlighter,e2c8,,
,history,e2c9,,
,home,e2ca,,
,hop,e2cc,,
,hop-off,e2cb,,
,hospital,e2cd,,
,hotel,e2ce,,
,hourglass,e2cf,,
,ice-cream-bowl,e2d0,,
,ice-cream-cone,e2d1,,
,image,e2d8,,
,image-down,e2d2,,
,image-minus,e2d3,,
,image-off,e2d4,,
,image-play,e2d5,,
,image-plus,e2d6,,
,images,e2d7,,
,image-up,e2d9,,
,import,e2da,,
,inbox,e2db,,
,indent-decrease,e2dc,,
,indent-increase,e2dd,,
,indian-rupee,e2de,,
,infinity,e2df,,
,info,e2e0,,
,inspection-panel,e2e1,,
,instagram,e2e2,,
,italic,e2e3,,
,iteration-ccw,e2e4,,
,iteration-cw,e2e5,,
,japanese-yen,e2e6,,
,joystick,e2e7,,
,kanban,e2e8,,
,key,e2ee,,
,keyboard,e2eb,,
,keyboard-music,e2e9,,
,keyboard-off,e2ea,,
,key-round,e2ec,,
,key-square,e2ed,,
,lamp,e2f2,,
,lamp-ceiling,e2ef,,
,lamp-desk,e2f0,,
,lamp-floor,e2f1,,
,lamp-wall-down,e2f3,,
,lamp-wall-up,e2f4,,
,landmark,e2f5,,
,land-plot,e2f6,,
,languages,e2f7,,
,laptop,e2f9,,
,laptop-minimal,e2f8,,
,lasso,e2fb,,
,lasso-select,e2fa,,
,laugh,e2fc,,
,layers,e2ff,,
,layers-2,e2fd,,
,layers-3,e2fe,,
,layout-dashboard,e300,,
,layout-grid,e301,,
,layout-list,e302,,
,layout-panel-left,e303,,
,layout-panel-top,e304,,
,layout-template,e305,,
,leaf,e306,,
,leafy-green,e307,,
,library,e309,,
,library-big,e308,,
,life-buoy,e30a,,
,ligature,e30b,,
,lightbulb,e30d,,
,lightbulb-off,e30c,,
,line-chart,e30e,,
,link,e312,,
,link-2,e310,,
,link-2-off,e30f,,
,linkedin,e311,,
,list,e31d,,
,list-checks,e313,,
,list-collapse,e314,,
,list-end,e315,,
,list-filter,e316,,
,list-minus,e317,,
,list-music,e318,,
,list-ordered,e319,,
,list-plus,e31a,,
