G,Name,U+,Style,Tags
,checkmark-rectangle-4,e122,,
,checkmark-seal,e125,,
,checkmark-seal-4,e124,,
,checkmark-shield,e127,,
,checkmark-shield-4,e126,,
,chevron-compact-down,e129,,
,chevron-compact-left,e12a,,
,chevron-compact-right,e12b,,
,chevron-compact-up,e12c,,
,chevron-down,e131,,
,chevron-down-2,e12d,,
,chevron-down-3,e12e,,
,chevron-down-4,e12f,,
,chevron-down-5,e130,,
,chevron-left,e138,,
,chevron-left-2,e132,,
,chevron-left-3,e133,,
,chevron-left-4,e134,,
,chevron-left-5,e135,,
,chevron-left-6,e136,,
,chevron-left-slash-chevron-right,e137,,
,chevron-right,e13e,,
,chevron-right-2,e139,,
,chevron-right-3,e13a,,
,chevron-right-4,e13b,,
,chevron-right-5,e13c,,
,chevron-right-6,e13d,,
,chevron-up,e144,,
,chevron-up-2,e13f,,
,chevron-up-3,e140,,
,chevron-up-4,e141,,
,chevron-up-5,e142,,
,chevron-up-chevron-down,e143,,
,circle,e14d,,
,circle-2,e145,,
,circle-bottomthird-split-2,e146,,
,circle-grid-3,e147,,
,circle-grid-3x3-2,e148,,
,circle-grid-hex,e14a,,
,circle-grid-hex-2,e149,,
,circle-lefthalf-2,e14b,,
,circle-righthalf-2,e14c,,
,clear,e14f,,
,clear-4,e14e,,
,clock,e151,,
,clock-4,e150,,
,cloud,e173,,
,cloud-4,e152,,
,cloud-bolt,e156,,
,cloud-bolt-4,e153,,
,cloud-bolt-rain,e155,,
,cloud-bolt-rain-4,e154,,
,cloud-download,e158,,
,cloud-download-4,e157,,
,cloud-drizzle,e15a,,
,cloud-drizzle-4,e159,,
,cloud-fog,e15c,,
,cloud-fog-4,e15b,,
,cloud-hail,e15e,,
,cloud-hail-4,e15d,,
,cloud-heavyrain,e160,,
,cloud-heavyrain-4,e15f,,
,cloud-moon,e166,,
,cloud-moon-4,e161,,
,cloud-moon-bolt,e163,,
,cloud-moon-bolt-4,e162,,
,cloud-moon-rain,e165,,
,cloud-moon-rain-4,e164,,
,cloud-rain,e168,,
,cloud-rain-4,e167,,
,cloud-sleet,e16a,,
,cloud-sleet-4,e169,,
,cloud-snow,e16c,,
,cloud-snow-4,e16b,,
,cloud-sun,e172,,
,cloud-sun-4,e16d,,
,cloud-sun-bolt,e16f,,
,cloud-sun-bolt-4,e16e,,
,cloud-sun-rain,e171,,
,cloud-sun-rain-4,e170,,
,cloud-upload,e175,,
,cloud-upload-4,e174,,
,command,e176,,
,compass,e178,,
,compass-4,e177,,
,control,e179,,
,creditcard,e17b,,
,creditcard-4,e17a,,
,crop,e17d,,
,crop-rotate,e17c,,
,cube,e181,,
,cube-4,e17e,,
,cube-box,e180,,
,cube-box-4,e17f,,
,cursor-rays,e182,,
,decrease-indent,e183,,
,decrease-quotelevel,e184,,
,delete-left,e186,,
,delete-left-4,e185,,
,delete-right,e188,,
,delete-right-4,e187,,
,desktopcomputer,e189,,
,device-desktop,e18a,,
,device-laptop,e18b,,
,device-phone-landscape,e18c,,
,device-phone-portrait,e18d,,
,device-tablet-landscape,e18e,,
,device-tablet-portrait,e18f,,
,dial,e191,,
,dial-4,e190,,
,divide,e196,,
,divide-2,e192,,
,divide-3,e193,,
,divide-4,e194,,
,divide-5,e195,,
,doc,e1a6,,
,doc-2,e197,,
,doc-4,e198,,
,doc-append,e199,,
,doc-chart,e19b,,
,doc-chart-4,e19a,,
,doc-checkmark,e19d,,
,doc-checkmark-4,e19c,,
,doc-on-clipboard,e19f,,
,doc-on-clipboard-4,e19e,,
,doc-on-doc,e1a1,,
,doc-on-doc-4,e1a0,,
,doc-person,e1a3,,
,doc-person-4,e1a2,,
,doc-plaintext,e1a4,,
,doc-richtext,e1a5,,
,doc-text,e1a9,,
,doc-text-4,e1a7,,
,doc-text-search,e1a8,,
,doc-text-viewfinder,e1aa,,
,dog,e1ab,,
,dot-3,e1ac,,
,dot-4,e1ad,,
,dot-radiowaves-left-right,e1ae,,
,dot-radiowaves-right,e1af,,
,download,e1b1,,
,download-2,e1b0,,
,drop,e1b3,,
,drop-4,e1b2,,
,drop-triangle,e1b5,,
,drop-triangle-4,e1b4,,
