G,Name,U+,Style,Tags
,long-arrow-left-down,e343,,
,long-arrow-left-up,e344,,
,long-arrow-right-down,e345,,
,long-arrow-right-up,e346,,
,long-arrow-up-left,e347,,
,long-arrow-up-right,e348,,
,lot-of-cash,e349,,
,lullaby,e34a,,
,mac-control-key,e34b,,
,mac-dock,e34c,,
,mac-option-key,e34d,,
,mac-os-window,e34e,,
,magic-wand,e34f,,
,magnet,e351,,
,magnet-energy,e350,,
,mail,e357,,
,mail-2,e352,,
,mail-in,e353,,
,mail-open,e355,,
,mail-open-2,e354,,
,mail-out,e356,,
,male,e358,,
,map,e364,,
,map-pin,e35b,,
,map-pin-minus,e359,,
,map-pin-plus,e35a,,
,map-pin-xmark,e35c,,
,maps-arrow,e35e,,
,maps-arrow-diagonal,e35d,,
,maps-arrow-xmark,e35f,,
,maps-go-straight,e360,,
,maps-turn-back,e361,,
,maps-turn-left,e362,,
,maps-turn-right,e363,,
,map-xmark,e365,,
,mask,e366,,
,mastercard-card,e367,,
,mastodon,e368,,
,math-book,e369,,
,maximize,e36a,,
,medal,e36e,,
,medal-1st,e36c,,
,medal-1st-2,e36b,,
,medal-2,e36d,,
,media-image,e372,,
,media-image-folder,e36f,,
,media-image-list,e370,,
,media-image-plus,e371,,
,media-image-xmark,e373,,
,media-video,e377,,
,media-video-folder,e374,,
,media-video-list,e375,,
,media-video-plus,e376,,
,media-video-xmark,e378,,
,medium,e379,,
,megaphone,e37a,,
,menu,e37c,,
,menu-scale,e37b,,
,message,e380,,
,message-2,e37d,,
,message-alert,e37f,,
,message-alert-2,e37e,,
,message-text,e382,,
,message-text-2,e381,,
,meter-arrow-down-right,e383,,
,metro,e384,,
,microphone,e390,,
,microphone-2,e385,,
,microphone-check,e387,,
,microphone-check-2,e386,,
,microphone-minus,e389,,
,microphone-minus-2,e388,,
,microphone-mute,e38b,,
,microphone-mute-2,e38a,,
,microphone-plus,e38d,,
,microphone-plus-2,e38c,,
,microphone-speaking,e38f,,
,microphone-speaking-2,e38e,,
,microphone-warning,e392,,
,microphone-warning-2,e391,,
,microscope,e393,,
,minus,e39a,,
,minus-2,e394,,
,minus-3,e395,,
,minus-4,e396,,
,minus-5,e397,,
,minus-dashed,e398,,
,minus-hexagon,e399,,
,mirror,e39b,,
,mobile-dev-mode,e39c,,
,mobile-fingerprint,e39d,,
,mobile-voice,e39e,,
,modern-tv,e3a0,,
,modern-tv-4k,e39f,,
,money,e3a2,,
,money-2,e3a1,,
,moon-sat,e3a3,,
,more-horiz,e3a5,,
