G,Name,U+,Style,Tags
,opentelemetry-plain-wordmark,e1fa,,
,opera-plain,e1fb,,
,opera-plain-wordmark,e1fc,,
,oracle-original,e1fd,,
,ory-original,e1fe,,
,ory-original-wordmark,e1ff,,
,p5js-original,e200,,
,packer-plain,e201,,
,packer-plain-wordmark,e202,,
,pandas-plain,e203,,
,pandas-plain-wordmark,e204,,
,perl-plain,e205,,
,pfsense-original,e206,,
,pfsense-original-wordmark,e207,,
,phalcon-plain,e208,,
,phoenix-original,e209,,
,phoenix-plain-wordmark,e20a,,
,photonengine-plain,e20b,,
,photoshop-original,e20c,,
,php-plain,e20d,,
,phpstorm-plain,e20e,,
,phpstorm-plain-wordmark,e20f,,
,playwright-plain,e210,,
,plotly-plain,e211,,
,plotly-plain-wordmark,e212,,
,pnpm-plain,e213,,
,pnpm-plain-wordmark,e214,,
,podman-plain,e215,,
,podman-plain-wordmark,e216,,
,poetry-plain,e217,,
,polygon-plain,e218,,
,polygon-plain-wordmark,e219,,
,portainer-original,e21a,,
,portainer-original-wordmark,e21b,,
,postcss-original,e21c,,
,postcss-plain-wordmark,e21d,,
,postgresql-plain,e21e,,
,postgresql-plain-wordmark,e21f,,
,postman-plain,e220,,
,postman-plain-wordmark,e221,,
,powershell-plain,e222,,
,premierepro-plain,e223,,
,prisma-original,e224,,
,prisma-original-wordmark,e225,,
,processing-plain,e226,,
,processing-plain-wordmark,e227,,
,prolog-plain,e228,,
,prolog-plain-wordmark,e229,,
,prometheus-original,e22a,,
,prometheus-plain-wordmark,e22b,,
,protractor-plain,e22c,,
,protractor-plain-wordmark,e22d,,
,pulsar-original,e22e,,
,pulsar-original-wordmark,e22f,,
,pulumi-plain,e230,,
,pulumi-plain-wordmark,e231,,
,puppeteer-plain,e232,,
,purescript-original,e233,,
,purescript-original-wordmark,e234,,
,putty-plain,e235,,
,pycharm-original-wordmark,e236,,
,pycharm-plain,e237,,
,pycharm-plain-wordmark,e238,,
,pypi-plain,e239,,
,pypi-plain-wordmark,e23a,,
,pyscript-plain-wordmark,e23b,,
,pytest-plain,e23c,,
,pytest-plain-wordmark,e23d,,
,python-plain,e23e,,
,python-plain-wordmark,e23f,,
,pytorch-original,e240,,
,pytorch-plain-wordmark,e241,,
,qodana-plain,e242,,
,qodana-plain-wordmark,e243,,
,qt-original,e244,,
,quarkus-plain,e245,,
